date,WMA_14,LWR,SMA_10,MOM,RSI_14,CCI_10_0.015,STOCHk_10_10_10,STOCHd_10_10_10,SIGNAL,AD
2012-02-22,40.5330940973191,36.7203628044213,40.406083297729495,-0.4015274047851562,54.6303906429451,-38.55860536392591,-624.4283589688381,-731.8475919265178,,-128030.07855527644
2012-02-23,40.67425602504185,11.016172321943218,40.52346649169922,-1.2809600830078054,59.63951981632357,-12.89499762913957,-588.3450978561589,-715.338319088161,0.3793779091023172,-109427.19128820609
2012-02-24,40.76389083862305,20.19623128274013,40.62398071289063,-2.3978004455566406,57.21013460233889,-3.099776262118364,-552.3977185216936,-693.1981475508009,0.3985655660276876,-131123.4119913311
2012-02-27,40.87020819527762,13.769834518728052,40.88306922912598,-1.6267433166503906,58.48502763317997,-36.06159908152712,-535.2765787964145,-668.7554731450283,0.4152205732475997,-105763.9745682829
2012-02-28,40.925423867361886,35.14608447249524,41.01540184020996,-0.7876815795898438,55.67779869968442,-49.803784240300885,-527.4491082275307,-644.3229243916423,0.4241801258589558,-112303.9745682829
2012-02-29,40.94851880754743,54.75691256235697,41.07762069702149,-0.7293167114257812,54.15087184338481,-61.19358374146886,-508.7090033862372,-618.4394796295638,0.4244912206364438,-135500.21053019696
2012-03-01,40.96568825131371,54.75691256235697,41.150552368164064,0.716888427734375,54.150871843384806,-49.83886050233326,-489.7197541913227,-591.6176435771894,0.4183637376563343,-157609.50078744662
2012-03-02,40.94281365530831,102.5004754084184,41.05403861999512,0.965137481689446,51.68533904090003,-81.95235643882118,-489.50390119693657,-567.2557561933029,0.4039396965457759,-193529.50078744665
2012-03-05,40.946227591378346,70.73099977399802,40.99062385559082,0.7999114990234375,54.65034837362048,-47.80809811209434,-529.8319945628443,-550.5715198216405,0.3888635132279802,-198148.8465312373
2012-03-06,40.849561564127605,129.26765095781258,40.844435119628905,0.3585739135742187,48.27019848500785,-199.04286269567325,-600.0723207129934,-544.573383642097,0.3636963467974288,-220618.74856981152
2012-03-07,40.82971627371652,48.78143394444288,40.86650123596191,0.5516433715820241,53.39685763538328,-140.43573375354543,-662.5821941031481,-548.388767155528,0.3409337520426552,-191928.20698452505
2012-03-08,40.76982694353376,70.73215159130328,40.786511993408205,0.5240745544433523,51.06129536231748,-99.88187960805004,-734.9143434601389,-563.0456917159261,0.3165137174548024,-188304.72635873407
2012-03-09,40.80003916422526,10.527139456846916,40.79478721618652,0.1103324890136718,56.11459420421961,51.71929449443656,-808.9472040418651,-588.7006402679432,0.3003657796643075,-171618.64163744106
2012-03-12,40.81527506510417,23.68524489929545,40.769962310791016,-0.0551681518554687,54.73135335812583,62.13226941704596,-880.067760835373,-623.179758471839,0.2876842078083337,-169786.80936205044
2012-03-13,40.82946137927827,20.58769692606121,40.769962310791016,-0.1654930114746093,54.15639248332158,60.01133360838672,-943.974923155764,-664.8323399646623,0.2764460258193835,-175750.0668674864
2012-03-14,40.52000994001117,276.4713778417758,40.546542739868165,2.234195709228516,36.292879743607365,-281.87309363343024,-946.9729070898144,-708.6587303350201,0.2313022211160423,-306901.5541713715
2012-03-15,40.38787674676804,56.38270951035782,40.4362117767334,0.8550605773925852,45.42842691607426,-142.0967304159695,-947.857077537658,-754.4724626696536,0.18254548259443,-229009.60602222764
2012-03-16,40.40862826392764,15.957803672316384,40.45551986694336,0.1379089355468679,52.26114641977368,-3.946836055712156,-946.3577469505352,-800.1578472450135,0.1486707956163567,-139696.84786678024
2012-03-19,40.541024453299386,-14.89333215630885,40.52171936035156,-1.3239707946777344,56.7153294600919,112.44507932154004,-907.6202280126408,-837.9366705899931,0.1372790289784476,-94086.0005192054
2012-03-20,40.51344153994606,38.88888177465434,40.5382682800293,0.4137458801269531,49.510449494248846,25.788372607996727,-841.060846250745,-862.0355231437683,0.1237669475600511,-135741.6559392846
2012-03-21,40.53760830107189,26.85198109377941,40.53275146484375,-0.1930809020996093,51.56156581945966,19.927072131840788,-780.0820478204816,-873.7855085155018,0.1144981027833972,-127501.23628599354
2012-03-22,40.463003358386814,51.85188505161305,40.47758674621582,1.1584739685058594,47.26667447341109,-45.71987439975724,-711.5758427645512,-871.4516584459428,0.0973618685630449,-128730.98633767644
2012-03-23,40.33480980282738,66.66658129585188,40.31760673522949,1.461883544921868,44.88091383345154,-63.21682260826808,-641.68101122684,-854.7250391644404,0.0694138229416362,-144055.87562149938
2012-03-26,40.15670467558361,82.407380136175,40.12452850341797,1.8756141662597656,42.43034404145417,-80.57305260319598,-572.015998656797,-823.9198629465827,0.0289514577058892,-179853.75570836826
2012-03-27,40.015113576253256,75.92594252580653,39.956274795532224,-0.7171516418457031,43.791281989867,-74.90208537117566,-501.8338955567427,-779.7057601866807,-0.0148224724139349,-166161.12242571585
2012-03-28,39.86222686767578,82.407380136175,40.00868225097656,0.6068115234375,42.70410806189768,-53.669877571955695,-495.05134989785046,-734.5136044674842,-0.0613572728967852,-229155.4384250648
2012-03-29,39.76004057384672,88.76376209160483,39.975582885742185,1.3791351318359446,44.81203765419485,-89.02072134343146,-492.0314746185475,-688.9310441755732,-0.1032682778466639,-202245.08594663907
2012-03-30,39.71538332984561,76.40433549590148,39.868010711669925,1.8756256103515625,47.116730193904985,-32.41215888673765,-490.4476237194616,-643.3400318524658,-0.1355598942962066,-197807.1237777932
2012-04-02,39.646820722307474,87.64041801017831,39.65286483764648,0.9929771423339844,45.26600439644034,-58.09793275149182,-510.89458875522894,-603.6674679267246,-0.1638327537686107,-191738.42006500688
